transcript_id	TPM
Gpal_D383_g00532.t2	28.638422
Gpal_D383_g00533.t2	887.159058
Gpal_D383_g00533.t1	127.485344
Gpal_D383_g00537.t1	64.107872
Gpal_D383_g00538.t1	65.534096
Gpal_D383_g00543.t1	83.142029
Gpal_D383_g00540.t1	40.281498
Gpal_D383_g00541.t1	18.316114
Gpal_D383_g00542.t1	65.859077
Gpal_D383_g00544.t1	31.181763
Gpal_D383_g00545.t1	60.856945
Gpal_D383_g00545.t2	5.048855
Gpal_D383_g00550.t1	4.034451
Gpal_D383_g00548.t1	18.336111
Gpal_D383_g00549.t1	37.392094
Gpal_D383_g00549.t2	4.843713
Gpal_D383_g00546.t1	421.479431
Gpal_D383_g00547.t1	23.288935
Gpal_D383_g00562.t2	0.000000
Gpal_D383_g00562.t3	0.000000
Gpal_D383_g00562.t4	0.000000
Gpal_D383_g00563.t1	0.000000
Gpal_D383_g00562.t5	0.000000
Gpal_D383_g00562.t1	1.196794
Gpal_D383_g00562.t6	14.611242
Gpal_D383_g00551.t1	29.477882
Gpal_D383_g00552.t1	40.977627
Gpal_D383_g00553.t1	35.617622
Gpal_D383_g00554.t1	105.286674
Gpal_D383_g00555.t1	32.622948
Gpal_D383_g00556.t1	7.911062
Gpal_D383_g00557.t1	85.622543
Gpal_D383_g00558.t1	73.514526
Gpal_D383_g00559.t1	149.156418
Gpal_D383_g00560.t1	111.505363
Gpal_D383_g00561.t1	59.299057
Gpal_D383_g00564.t1	24.992464
Gpal_D383_g00565.t2	29.695816
Gpal_D383_g00565.t1	5.698898
Gpal_D383_g00566.t1	36.284218
Gpal_D383_g00567.t1	137.115021
Gpal_D383_g00385.t2	0.000000
Gpal_D383_g00397.t1	0.000000
Gpal_D383_g00398.t1	0.000000
Gpal_D383_g00401.t2	0.000000
Gpal_D383_g00401.t3	0.000000
Gpal_D383_g00402.t2	0.000000
Gpal_D383_g00403.t1	0.000000
Gpal_D383_g00404.t1	0.000000
Gpal_D383_g00408.t1	0.000000
Gpal_D383_g00411.t1	0.000000
Gpal_D383_g00422.t1	0.000000
Gpal_D383_g00425.t1	0.000000
Gpal_D383_g00425.t2	0.000000
Gpal_D383_g00432.t3	0.000000
Gpal_D383_g00438.t1	0.000000
Gpal_D383_g00441.t1	0.000000
Gpal_D383_g00441.t2	0.000000
Gpal_D383_g00442.t1	0.000000
Gpal_D383_g00446.t1	0.000000
Gpal_D383_g00449.t1	0.000000
Gpal_D383_g00449.t4	0.000000
Gpal_D383_g00451.t1	0.000000
Gpal_D383_g00452.t1	0.000000
Gpal_D383_g00452.t2	0.000000
Gpal_D383_g00458.t1	0.000000
Gpal_D383_g00463.t1	0.000000
Gpal_D383_g00472.t1	0.000000
Gpal_D383_g00476.t1	0.000000
Gpal_D383_g00487.t2	0.000000
Gpal_D383_g00493.t1	0.000000
Gpal_D383_g00493.t4	0.000000
Gpal_D383_g00494.t2	0.000000
Gpal_D383_g00507.t2	0.000000
Gpal_D383_g00512.t2	0.000000
Gpal_D383_g00513.t1	0.000000
Gpal_D383_g00513.t3	0.000000
Gpal_D383_g00514.t1	0.000000
Gpal_D383_g00519.t1	0.000000
Gpal_D383_g00520.t1	0.000000
Gpal_D383_g00384.t1	12.009779
Gpal_D383_g00385.t1	41.108852
Gpal_D383_g00385.t3	5.660261
Gpal_D383_g00386.t1	82.604080
Gpal_D383_g00386.t2	2.575050
Gpal_D383_g00387.t1	998.829224
Gpal_D383_g00388.t1	63.144165
Gpal_D383_g00389.t1	74.965347
Gpal_D383_g00390.t1	33.287338
Gpal_D383_g00391.t1	71.871185
Gpal_D383_g00392.t1	85.750908
Gpal_D383_g00393.t1	51.441711
Gpal_D383_g00394.t1	59.340984
Gpal_D383_g00395.t1	10.471969
Gpal_D383_g00396.t1	63.313110
Gpal_D383_g00399.t1	5.141562
Gpal_D383_g00399.t2	0.720865
Gpal_D383_g00400.t1	11.739824
Gpal_D383_g00400.t2	6.707875
Gpal_D383_g00401.t1	7.330687
Gpal_D383_g00402.t1	2.038939
Gpal_D383_g00405.t1	2.332198
Gpal_D383_g00406.t1	30.856720
Gpal_D383_g00407.t1	36.317142
Gpal_D383_g00409.t1	20.026047
Gpal_D383_g00410.t1	117.993988
Gpal_D383_g00412.t1	4.868023
Gpal_D383_g00413.t1	5.488379
Gpal_D383_g00414.t1	92.009033
Gpal_D383_g00415.t1	4.850335
Gpal_D383_g00416.t1	12.050521
Gpal_D383_g00417.t1	58.027714
Gpal_D383_g00417.t2	16.731644
Gpal_D383_g00417.t3	4.794673
Gpal_D383_g00417.t4	1.740748
Gpal_D383_g00418.t1	40.486904
Gpal_D383_g00419.t1	16.798672
Gpal_D383_g00420.t1	112.070152
Gpal_D383_g00421.t1	4.676033
Gpal_D383_g00422.t2	4.777782
Gpal_D383_g00423.t1	109.247002
Gpal_D383_g00424.t1	1.665703
Gpal_D383_g00426.t1	0.288168
Gpal_D383_g00426.t2	0.051577
Gpal_D383_g00427.t1	38.897083
Gpal_D383_g00428.t1	43.410625
Gpal_D383_g00429.t1	88.215843
Gpal_D383_g00430.t1	5.711541
Gpal_D383_g00431.t1	119.833649
Gpal_D383_g00432.t1	6.575826
Gpal_D383_g00432.t2	49.620628
Gpal_D383_g00433.t1	19.782747
Gpal_D383_g00434.t1	5.295481
Gpal_D383_g00435.t1	6.981006
Gpal_D383_g00436.t1	163.661026
Gpal_D383_g00437.t1	2.715355
Gpal_D383_g00439.t2	4.057903
Gpal_D383_g00439.t1	1.250250
Gpal_D383_g00440.t1	3.591946
Gpal_D383_g00443.t1	15.945928
Gpal_D383_g00444.t1	14.095531
Gpal_D383_g00445.t1	18.439520
Gpal_D383_g00446.t2	9.401504
Gpal_D383_g00446.t3	0.016937
Gpal_D383_g00447.t1	9.525710
Gpal_D383_g00448.t1	19.306576
Gpal_D383_g00449.t2	11.552410
Gpal_D383_g00449.t3	20.236609
Gpal_D383_g00450.t1	0.604103
Gpal_D383_g00453.t1	1.628674
Gpal_D383_g00454.t1	38.766270
Gpal_D383_g00455.t1	119.571739
Gpal_D383_g00456.t1	21.846317
Gpal_D383_g00457.t1	21.445866
Gpal_D383_g00458.t2	15.526981
Gpal_D383_g00458.t3	3.578481
Gpal_D383_g00459.t1	296.240265
Gpal_D383_g00460.t1	59.452267
Gpal_D383_g00461.t1	75.144203
Gpal_D383_g00462.t1	6.785217
Gpal_D383_g00464.t1	21.963825
Gpal_D383_g00465.t1	1199.943604
Gpal_D383_g00466.t1	11.436190
Gpal_D383_g00467.t1	11.916526
Gpal_D383_g00468.t1	12.713651
Gpal_D383_g00469.t1	104.863464
Gpal_D383_g00470.t1	103.960472
Gpal_D383_g00471.t1	63.674309
Gpal_D383_g00472.t2	26.885733
Gpal_D383_g00473.t1	14.169048
Gpal_D383_g00473.t3	1.683105
Gpal_D383_g00473.t2	0.116506
Gpal_D383_g00474.t1	1.074968
Gpal_D383_g00475.t1	435.897095
Gpal_D383_g00476.t2	27.398180
Gpal_D383_g00477.t1	15.801506
Gpal_D383_g00478.t1	6.301424
